epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_32,weight_mean_64,weight_mean_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2
1,2.0000000000000003e-06,2e-05,0.0,180.84083618988862,175.35983668146906,3.7659803145640605,3.7659803145640605,3.7659803145640605,0.0,0.0,0.2507718769279686,5.968312733882183,0.17328520240010442,4.066773156862001,0.0,0.0,0.0,2.178828336097099,49.97441307274071,49.9067497253418,50.00431823730469,50.00431823730469,0.9999999403953552,0.0022467647213488817,0.9671578407287598,1.0101511478424072,0.9999999403953552,0.0022467647213488817,0.0,0.0,5.340717882723422,5.340629371436867,1.6572919315117758e-05,0.999999995167191,0.9999999887234455,1.0000000032218728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4.000000000000001e-06,4e-05,0.0,175.0999764107369,169.67717351140203,3.7311832131566227,3.7311832131566227,3.7311832131566227,0.0,0.0,0.2505992348935153,5.889021499736889,0.1732597109433767,3.991900147618474,0.0,0.0,0.0,2.187196866886036,49.77191739468961,49.61518478393555,49.71218490600586,49.9067497253418,1.0000001192092896,0.0027955188415944576,0.9576922059059143,1.0121592283248901,1.0000001192092896,0.0027955188415944576,0.0,0.0,5.008459258723903,5.008386470176078,1.4533121677665496e-05,0.9999999967781273,0.999999995167191,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6e-06,6e-05,0.0,178.01736182135505,172.53164961531357,3.717825361200281,3.717825361200281,3.717825361200281,0.0,0.0,0.25176489514273565,6.163049285476272,0.17321386007038322,4.203726781381143,0.0,0.0,0.0,2.205763037140305,49.44212032008816,49.22907257080078,49.518367767333984,49.61518478393555,1.0,0.003898119553923607,0.9370667934417725,1.013710856437683,1.0,0.003898119553923607,0.0,0.0,4.522127293251656,4.522054208291544,1.6161632650485703e-05,0.9999999919453183,0.9999999903343819,0.9999999967781273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8.000000000000001e-06,8e-05,0.0,174.50304928341427,169.06779067580766,3.7192153415164433,3.7192153415164433,3.7192153415164433,0.0,0.0,0.2515632393392357,5.971485679214065,0.17313965470404238,4.06914222240448,0.0,0.0,0.0,2.232982738597973,48.76574748271221,48.27689743041992,48.845970153808594,49.133018493652344,1.0,0.005878550466150045,0.9301390051841736,1.0219892263412476,1.0,0.005878550466150045,0.0,0.0,3.7325055599212646,3.732381530710169,3.322947792163337e-05,1.0,0.9999999855015729,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1e-05,0.0001,0.0,174.74291538547826,169.2820325284391,3.746932126380302,3.746932126380302,3.746932126380302,0.0,0.0,0.2518862127452283,6.009798262570356,0.17300520474846298,3.97119275943653,0.0,0.0,0.0,2.2757384841506547,47.31979009267446,46.336849212646484,47.43569564819336,48.18269729614258,0.9999999403953552,0.009353826753795147,0.9003868103027344,1.0354483127593994,0.9999999403953552,0.009353826753795147,0.0,0.0,2.8315293273410282,2.831365353352315,5.7910044275385996e-05,0.9999999967781273,0.9999999855015729,1.0,250.78257378379067,377.69012218603285,0.6529700400452507,-129.83212276081463,250.7825732493113,321.61524808201807,385.00052170452057,421.00155162374165,185.22937066214425,140.6230466680009,569.6836916052777,0.032144174139324425,0.32654045974444557,-0.28756115902309953,-0.28756115902309953,0.3840391463003859,0.1669266730469564,0.04690020491611409,1.3579105370787714,0.7282824148578947,0.7615956765189291,0.8326408249243027,0.2282824148578947,-0.03840432348107092,-0.11735917507569726,0.0,0.0,0.5054945054945055,0.4945054945054945,1.0,2.328500876714895,2.161862176198226,2.1383442973697577
6,1e-05,0.0001,0.05,185.2883265727275,179.85008445945945,3.6864608945073307,3.6864608945073307,3.6864608945073307,0.0,0.0,0.25088517528933446,6.162976451822229,0.17292560838364265,4.045844190829509,0.0,0.0,0.0,2.3839357801385828,44.22703016126478,41.78017044067383,44.47475814819336,46.24643325805664,1.0,0.019489893689751625,0.651750385761261,1.089823603630066,1.0,0.019489893689751625,0.0,0.0,2.0966091317099496,1.8568732126339063,0.11434459358694093,0.999999995167191,0.999999995167191,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9.999975077406627e-06,9.999975077406626e-05,0.1,157.96674017004065,152.66223866230732,3.7464509912439294,3.7464509912439294,3.7464509912439294,0.0,0.0,0.2515952836822819,5.477493659870045,0.17285972833633423,3.477958163699588,0.0,0.0,0.0,2.5801093964963346,38.88161736565667,35.04526901245117,39.24884033203125,42.4381103515625,0.9999998211860657,0.04929887875914574,0.42530059814453125,1.1870688199996948,0.9999998211860657,0.04929887875914574,0.0,0.0,1.3454824911581504,1.0595497247335073,0.21251318267138572,0.9999999967781273,0.9999999838906366,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9.999900309874961e-06,9.999900309874961e-05,0.15,163.67766117405247,158.47497970993453,3.7252475828737825,3.7252475828737825,3.7252475828737825,0.0,0.0,0.25317485912426096,5.241218083613628,0.1712830368731473,3.1451125273833402,0.0,0.0,0.0,2.8382412162986963,33.85861793724266,26.97530746459961,34.90864181518555,39.479488372802734,1.0000563859939575,0.12758398056030273,0.25,1.362786054611206,1.0000563859939575,0.12758398056030273,0.0010449720976036766,0.0,1.088094393949251,0.789868946011002,0.2740804930129603,1.0000722247201044,1.0000000579937085,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9.999775698150361e-06,9.999775698150361e-05,0.2,155.01783010121937,149.92624190046982,3.7468379961477742,3.7468379961477742,3.7468379961477742,0.0,0.0,0.25218049537491155,4.758840238725817,0.16735936056923223,2.7973023846342757,0.0,0.0,0.0,3.0369257733628556,31.004401593594938,20.967397689819336,32.602046966552734,38.26483154296875,1.0011950731277466,0.190750852227211,0.25,1.672587513923645,1.0011950731277466,0.190750852227211,0.01289254841886421,0.0,1.302327868100759,0.956231452323295,0.2657521383476124,1.0014829120120488,1.000226686129699,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,9.999601243475088e-06,9.999601243475088e-05,0.25,157.38783099200273,152.4388751468143,3.6832926788845577,3.6832926788845577,3.6832926788845577,0.0,0.0,0.2523390050675418,4.458667890445606,0.16366841583638578,2.6174330808020927,0.0,0.0,0.0,3.0927107849636593,30.64979532602671,17.450618743896484,32.85774612426758,39.17226028442383,1.0039644241333008,0.2331613451242447,0.25,1.6853177547454834,1.0039644241333008,0.2331613451242447,0.03133274975380239,0.0,2.751894577129467,1.9187320551356755,0.3027596074784496,1.0046579096768353,1.0018655319471617,1.0,250.6708564548702,376.98553292191326,0.6564546859192859,-127.24390698527242,250.67085707805037,321.93336490165683,385.59109149458095,421.81343346221195,187.0944551740374,141.46477038361306,566.597376284392,0.03324990743385141,0.3338743844322427,-0.2614724835611828,-0.2614724835611828,0.3724962051227695,0.1343892748885822,0.03417264795818677,1.3590008339952686,0.7283659873012743,0.7619792526052102,0.8326815397044107,0.22836598730127433,-0.03802074739478989,-0.11731846029558923,0.0,0.0,0.4945054945054945,0.5054945054945055,1.0,2.312711168776502,2.1628591329841824,2.139828708800641
