epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.27150210818729,18.104253872020823,3.800615394437635,3.800615394437635,3.800615394437635,0.0,0.0,0.33231520652770996,5.625663402918223,0.17327634869395075,3.780902904433173,0.02660332650348947,1.8224824875564867e-05,0.0,0.7864866997744586,0.3322546925093677,0.33231520652770996,0.0,0.0,0.0,2.1581112694095923,50.003658500877584,50.00431823730469,50.00431823730469,50.00431823730469,1.0000001192092896,0.0031450295355170965,0.957017719745636,1.0186066627502441,0.33308157324790955,0.0011057194788008928,0.0,0.0,0.0,0.0,0.0,1.0,0.3330473319904224,0.33304789662361145,1.0,0.33390948095837153,0.0,0.33304762518083725,0.33304850877942266,0.0,0.33390387087254914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,26.76004881472201,20.470825607712204,3.7709453105926514,3.7709453105926514,3.7709453105926514,0.0,0.0,0.3312037136103656,6.0559287908914925,0.1732454533512528,4.1153069315729915,0.02688559763938994,1.819316187450297e-05,0.0,0.7844105475657696,0.3312750788959297,0.3312037136103656,0.0,0.0,0.0,2.1618131366935938,49.93538315231736,49.9067497253418,49.9067497253418,50.00431823730469,1.0000001192092896,0.0030025714077055454,0.9571569561958313,1.0225276947021484,0.3324510157108307,0.0012830245541408658,0.0,0.0,0.0,0.0,0.0,1.0,0.3323272249183139,0.33235309816695546,1.0,0.33532877870508143,0.0,0.33233076172906,0.3323572866014532,0.0,0.33531195569682765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.703827471346468,17.544379234313965,3.804802894592285,3.804802894592285,3.804802894592285,0.0,0.0,0.33222726067981206,5.557886742256783,0.17319355059314417,3.794336293194745,0.02593311614583473,1.808642706679608e-05,0.0,0.7816865766370619,0.3313159112994735,0.33222726067981206,0.0,0.0,0.0,2.168850389686791,49.797608143574486,49.71218490600586,49.80937194824219,49.9067497253418,1.0000001192092896,0.0030522930901497602,0.9722749590873718,1.0294338464736938,0.3311725854873657,0.0019242442212998867,0.0,0.0,0.0,0.0,0.0,1.0,0.3308627138266692,0.3309704903009775,1.0,0.33817737005852366,0.0,0.3308726396109607,0.3309801599463901,0.0,0.33814720044264923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,26.098444861334723,19.823020110259186,3.821368984273962,3.821368984273962,3.821368984273962,0.0,0.0,0.3323865653695287,5.843386392335634,0.17309214577481552,3.998563946904363,0.027795257071989612,1.79216583362447e-05,0.0,0.7756293480460709,0.332770684280911,0.3323865653695287,0.0,0.0,0.0,2.178876509537568,49.618333249478724,49.518367767333984,49.61518478393555,49.71218490600586,1.0000001192092896,0.0038727845530956984,0.9774781465530396,1.0646189451217651,0.3292294144630432,0.0031037398148328066,0.0,0.0,0.0,0.0,0.0,1.0,0.32860931834659063,0.3290109400813644,1.0,0.342394815908896,0.0,0.3286273503625715,0.3290249866408271,0.0,0.34234767105128316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.802107682099212,18.64311106140549,3.801540117006044,3.801540117006044,3.801540117006044,0.0,0.0,0.33123733304642344,5.6230471585247965,0.17296958936227336,3.751459543769424,0.026723861367114493,1.7687796030627765e-05,0.0,0.7674764845822308,0.33018536664344167,0.33123733304642344,0.0,0.0,0.0,2.191813056533401,49.40020380793391,49.22907257080078,49.421749114990234,49.61518478393555,1.0000001192092896,0.005618593655526638,0.9829294085502625,1.0627541542053223,0.32697442173957825,0.00458312314003706,0.0,0.0,0.0,0.0,0.0,1.0,0.3260254666611955,0.3265709530662846,1.0,0.34743850698342194,0.0,0.3260613857088862,0.32660223503370545,0.0,0.34733637845194015,250.60156019441374,374.2884736411745,0.6727595400810307,-115.82572605845692,250.60156051518914,323.205649343344,388.1115088421815,425.3603186009358,195.1767910548619,145.70688401451406,553.1969213071077,0.03642003540684681,0.308218448316419,0.28734064301344237,0.32018208405577164,0.0,0.40001495035808193,0.2158500249380216,0.006226093371334229,1.386022841112843,0.716426660803928,0.7553772305888388,0.8324356014803415,0.21642666080392803,-0.04462276941116128,-0.1175643985196585,0.0,0.0,0.5274725274725275,0.4725274725274725,1.0,2.335926985347664,2.276717315663348,2.2338110578584147,-8.000249862670898,0.0003353225765749812
6,6e-06,6e-05,0.05,25.08644150398873,18.890383153348356,3.8193791943627433,3.8193791943627433,3.820060485118144,0.0,0.0,0.33243099660486786,5.671571602692476,0.17283317043974594,3.787071801520683,0.026634948529504442,1.5271105587237036e-05,0.0,0.7611106360280836,0.33385016869854284,0.3326076929633682,0.0,0.0,0.0,2.2056893078056543,49.041779079952754,48.75066375732422,49.037147521972656,49.3253173828125,0.9999998211860657,0.00792608316987753,0.9790889620780945,1.100150465965271,0.32484835386276245,0.006356369238346815,0.0,0.0,0.4118611135998288,0.2157540397869574,0.47614855429981756,1.0,0.3236140955138851,0.3241593128926045,1.0,0.352219148262127,0.0,0.32366361086433,0.32419440955729095,0.0,0.35214197716197454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,25.072210956264186,18.859645611531025,3.8116536333754256,3.8116536333754256,3.8131425638456604,0.0,0.0,0.332348066407281,5.718588004241118,0.17245854719265089,3.8504824960553967,0.028211356467894605,1.4431388474288207e-05,0.0,0.7803675548450367,0.33479709399713053,0.33261317014694214,0.0,0.0,0.0,2.259453225780178,48.144355052226295,47.343135833740234,48.27689743041992,48.845970153808594,0.9999999403953552,0.01646578684449196,0.9555434584617615,1.249558687210083,0.3371456563472748,0.014616958796977997,0.0,0.0,0.3945244937329679,0.13193805717133186,0.6655770192543901,1.0,0.3420315086841583,0.3150033338649853,1.0,0.34299798430623235,0.0,0.34195011773624934,0.3150994962937123,0.0,0.34295038355363383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.987739331013447,20.727473336297113,3.7821544376579492,3.7821544376579492,3.7840231560372017,0.0,0.0,0.3325103344144048,5.981150994429717,0.1724384833832045,3.962578277330141,0.027999169520429662,1.4498357936768238e-05,0.0,0.8081513208311957,0.33651092567959345,0.3328040371070037,0.0,0.0,0.0,2.388230749078699,45.91872034846126,43.95661163330078,46.15619659423828,47.62135314941406,1.0,0.03867919743061066,0.8819696307182312,1.541914939880371,0.35578545928001404,0.0349784791469574,0.0,0.0,0.3599883068252254,0.09367395514571988,0.7397861170218547,1.0,0.3693258536828531,0.30432008649851827,1.0,0.3265494583426295,0.0,0.3687383830547333,0.30460600836856944,0.0,0.3266556045493564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.168698542826885,18.143366955422067,3.831937229311144,3.831937229311144,3.828924256402093,0.0,0.0,0.3324375813071792,5.290416807741733,0.17372234689222799,3.2311688983762585,0.02709604543004487,1.542369335692382e-05,0.0,0.8459132345947059,0.33293130752202627,0.3326972586077613,0.0,0.0,0.0,2.6322454955126786,41.724915478680586,37.7452392578125,42.355308532714844,44.91121292114258,1.0000001192092896,0.10523047298192978,0.7683530449867249,2.952821969985962,0.369956910610199,0.06851180642843246,0.0,0.0,0.28239312083334533,0.06648996895229495,0.7645481987801888,1.0,0.3884310939827481,0.3045012354850769,1.0,0.30819833359202825,0.0,0.3861070742478242,0.3051300902624388,0.0,0.30876283468426885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.245747024948532,18.396901414201068,3.787718592463313,3.787718592463313,3.7709918730967753,0.0,0.0,0.3324671766242465,4.986240676931433,0.1725549629411182,2.864485792211584,0.02793692412307939,2.006532712265333e-05,0.0,0.869688406183913,0.33376255309259567,0.33262044191360474,0.0,0.0,0.0,2.8887989198839343,38.10338788419156,29.511075973510742,39.866920471191406,43.529441833496094,1.0000001192092896,0.228690505027771,0.6227508187294006,3.1337690353393555,0.37567588686943054,0.12728843092918396,0.0,0.0,0.2710074754180135,0.08650099143788621,0.6808169542022287,1.0,0.393990000357499,0.3149795185875248,1.0,0.2952039298173544,0.0,0.38747409147185247,0.31591383186546534,0.0,0.2966120782736185,250.5903669504019,373.96496745213705,0.6748290953273672,-114.3827045566433,250.59036609242673,323.3922212067803,388.4301391329191,425.782193923796,196.20642416817802,146.25292022468508,551.4646762350332,0.03695716992867076,0.33050925970674083,0.27237121729515257,0.2520867314209569,0.0,0.36825133955846645,0.19419099945549853,0.0025153236042172148,1.3857281935468795,0.7163350555128064,0.7542413249789308,0.8324356014803415,0.2163350555128064,-0.04575867502106923,-0.1175643985196585,0.0,0.0,0.532967032967033,0.46703296703296704,1.0,2.3345885545342835,2.2759562760264007,2.2331307471453488,-8.000080108642578,0.0003353795036673546
