epoch,lr_backbone,lr_main,solver_strength,train_total,train_count,train_flat_dm16,train_allocation,train_dm16,train_dm32,train_dm64,train_cell,train_region_nb,train_hurdle_bce,train_trunc_nb,train_curvature,train_hard_bg,train_fg_bce,train_scale_align,train_cell_carrier,train_cell_fine,train_kd_total,train_kd_spatial,train_kd_count,region_mu_mean,region_dispersion_mean,region_dispersion_p10,region_dispersion_p50,region_dispersion_p90,region_weight_mean,region_weight_std,region_weight_min,region_weight_max,solver_weight_mean,solver_weight_std,weight_clip_low_fraction,weight_clip_high_fraction,solver_energy_before,solver_energy_after,solver_energy_reduction,weight_mean_16,weight_mean_32,weight_mean_64,weight_mean_64_32,weight_mean_128,scale_pi_16,scale_pi_32,scale_pi_64,scale_pi_64_32,scale_pi_128,val_mae,val_rmse,val_nae,val_bias,val_game0,val_game1,val_game2,val_game3,val_mae_sparse,val_mae_moderate,val_mae_dense,pearson_rate_var_error,spearman_rate_var_error,spearman_weight_error,spearman_pred_weight_error,spearman_rate_var_error_16,spearman_rate_var_error_32,spearman_rate_var_error_64,spearman_rate_var_error_128,mean_std_residual,coverage_50,coverage_80,coverage_95,calib_gap_50,calib_gap_80,calib_gap_95,dispersion_sat_low_fraction,dispersion_sat_high_fraction,solver_help_fraction,solver_harm_fraction,energy_monotonic_fraction,mae_reg_y0,mae_reg_y1,mae_reg_y2,curvature_alpha,effective_curvature
1,1.0000000000000002e-06,1e-05,0.0,24.271526156245052,18.10427661844202,3.8006152333440006,3.8006152333440006,3.8006152333440006,0.0,0.0,0.33231519766756007,5.625667784665082,0.17327634869395075,3.7809047763412065,0.026603326855881793,1.8224764947238304e-05,0.0,0.7864869462477194,0.33225469573124033,0.33231519766756007,0.0,0.0,0.0,2.158113092989535,50.00364674748601,50.00431823730469,50.00431823730469,50.00431823730469,0.9999999403953552,0.003144659800454974,0.9570140242576599,1.0185946226119995,0.3330816924571991,0.0011055921204388142,0.0,0.0,0.0,0.0,0.0,1.0,0.33304739964974894,0.3330479844196423,1.0,0.33390931905926885,0.0,0.33304768800735474,0.3330485933535808,0.0,0.3339037218609372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2.0000000000000003e-06,2e-05,0.0,26.760050283895957,20.47082858472257,3.770945761654828,3.770945761654828,3.770945761654828,0.0,0.0,0.3312037192486428,6.0559306015839445,0.17324543160361214,4.115298045648111,0.026885595474694227,1.8193153910279097e-05,0.0,0.7844081682127875,0.3312750676193753,0.3312037192486428,0.0,0.0,0.0,2.1618268296525285,49.93505117055532,49.9067497253418,49.9067497253418,50.00431823730469,1.0,0.0030013767536729574,0.9571608304977417,1.022519826889038,0.33245033025741577,0.0012828436447307467,0.0,0.0,0.0,0.0,0.0,1.0,0.3323264097845232,0.3323523466651504,1.0,0.33533033486959096,0.0,0.3323299643155691,0.3323565431543299,0.0,0.33531349816837824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3e-06,3e-05,0.0,23.703836698789853,17.544399854299183,3.8048037451666756,3.8048037451666756,3.8048037451666756,0.0,0.0,0.3322272413485759,5.557871593011392,0.17319349541857437,3.794294956568125,0.025933120575909678,1.8086839829905058e-05,0.0,0.7816727676907101,0.3313157961175248,0.3322272413485759,0.0,0.0,0.0,2.168901063300468,49.79678684956318,49.71218490600586,49.80937194824219,49.9067497253418,1.0000001192092896,0.0030547094065696,0.974994957447052,1.030881404876709,0.33116844296455383,0.001926742377690971,0.0,0.0,0.0,0.0,0.0,1.0,0.33085803888939525,0.33096619554468104,1.0,0.33818637922003464,0.0,0.3308679976978818,0.3309758990197568,0.0,0.33815610247689326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4.000000000000001e-06,4e-05,0.0,26.098166903933965,19.82277924305684,3.8213736366581275,3.8213736366581275,3.8213736366581275,0.0,0.0,0.33238633420016317,5.8433711464340625,0.17309126499536875,3.9983900173290357,0.027795208089456364,1.7925173017067357e-05,0.0,0.7755634639714215,0.3327697539651716,0.33238633420016317,0.0,0.0,0.0,2.1790646153527335,49.61554810807512,49.518367767333984,49.61518478393555,49.71218490600586,1.0000001192092896,0.003898360999301076,0.9773976802825928,1.0645188093185425,0.3292079269886017,0.0031195692718029022,0.0,0.0,0.0,0.0,0.0,1.0,0.32858462591429016,0.32898820171485077,1.0,0.34244243035445343,0.0,0.32860274894817454,0.32900233687581243,0.0,0.3423949198142902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5e-06,5e-05,0.0,24.802178666398333,18.643312982610755,3.8015422692170016,3.8015422692170016,3.8015422692170016,0.0,0.0,0.33123643011660187,5.622874234173749,0.1729656836471042,3.751028228450466,0.026723717490362155,1.770192176155507e-05,0.0,0.767275099818771,0.3301817653952418,0.33123643011660187,0.0,0.0,0.0,2.192371851689107,49.38962018812025,49.133018493652344,49.421749114990234,49.61518478393555,0.9999999403953552,0.0057096462696790695,0.9824522733688354,1.0622589588165283,0.3269115686416626,0.004627744667232037,0.0,0.0,0.0,0.0,0.0,1.0,0.3259548520719683,0.32649602600046107,1.0,0.34758375303165334,0.0,0.3259914573785421,0.3265278516588984,0.0,0.3474806853242823,250.65972558744662,373.52673982162645,0.6785661550606706,-112.01209898309394,250.65972620149202,323.6791182367907,389.0690902438134,426.6123954320421,198.10089710780554,147.23131762364113,548.7070392111074,0.03642419733976832,0.3083829833962886,0.28715360747598684,0.3201142209073671,0.0,0.3998481687184438,0.2155301084977478,0.00517062806675701,1.3860240012876548,0.716426660803928,0.7553589095306145,0.8324356014803415,0.21642666080392803,-0.04464109046938558,-0.1175643985196585,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.335967420549183,2.276740755353655,2.233831776039941,-8.000232696533203,0.00033532833913341165
6,6e-06,6e-05,0.05,25.02124868856894,18.825485049067318,3.819303229048445,3.819303229048445,3.819898540909226,0.0,0.0,0.33240244114721146,5.671651569572655,0.17283189135628776,3.7868410445548393,0.026629565006776434,1.5536259230135033e-05,0.0,0.7602008693927044,0.3336255888681154,0.3325510234446139,0.0,0.0,0.0,2.206086996439341,49.03239069758235,48.75066375732422,49.037147521972656,49.3253173828125,1.0000001192092896,0.008005381561815739,0.9794442057609558,1.1005579233169556,0.3242599070072174,0.006396233104169369,0.0,0.0,0.4119787047038207,0.24328941630350576,0.4094611844599804,1.0,0.3227491805682311,0.32451183167663783,1.0,0.3527306012205175,0.0,0.3228053998302769,0.3245465602423694,0.0,0.3526480415382901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7e-06,7e-05,0.1,24.94517421722412,18.73264640086406,3.8113580072248303,3.8113580072248303,3.81266501143172,0.0,0.0,0.33231816903964895,5.718816956958255,0.172455272561795,3.8537446292670996,0.02820418301869083,1.4616301873379475e-05,0.0,0.7747882024661915,0.3345437219014039,0.33254927799508377,0.0,0.0,0.0,2.254216986733514,48.20361616804793,47.43569564819336,48.27689743041992,48.845970153808594,1.0,0.015674766153097153,0.9540822505950928,1.196937918663025,0.3342556953430176,0.012634510174393654,0.0,0.0,0.3932706238450231,0.15721600925600207,0.6002345465855174,1.0,0.3379784766081217,0.31572870386613383,1.0,0.34631681361713923,0.0,0.33793271715576584,0.3158186118345003,0.0,0.3462486702042657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8.000000000000001e-06,8e-05,0.15,26.877997063301706,20.607453101390117,3.7820607649313436,3.7820607649313436,3.783991781440941,0.0,0.0,0.33249479129507736,5.99655768677995,0.17233058568593618,4.001943394944474,0.027995477078130115,1.4531019661336433e-05,0.0,0.7986125446654655,0.3363602274173015,0.33276606894828176,0.0,0.0,0.0,2.3464649432414286,46.547066972062396,44.99901580810547,46.70027160644531,47.90120315551758,1.0,0.03258872404694557,0.9023138880729675,1.4761123657226562,0.3517454266548157,0.03142630681395531,0.0,0.0,0.369924242432053,0.11402420417682545,0.6917633636898798,1.0,0.3640785628073924,0.3031793873052339,1.0,0.33287346121427175,0.0,0.36363275469960393,0.303455692690772,0.0,0.33291155099868774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9e-06,9e-05,0.2,24.228856241380846,18.161639909486514,3.8341043059890336,3.8341043059890336,3.8332709170676567,0.0,0.0,0.3324480950832367,5.365539570112486,0.17331198985512192,3.3582563947986914,0.027103470688736118,1.5087044409262268e-05,0.0,0.8316627885844257,0.3329683574470314,0.33270658915107315,0.0,0.0,0.0,2.527804116945009,43.36669963114971,40.336856842041016,43.78524398803711,45.88654327392578,1.0,0.07446694374084473,0.8068018555641174,2.4153778553009033,0.36890700459480286,0.059521567076444626,0.0,0.0,0.3089428584317903,0.08337727048107095,0.7301207384941726,1.0,0.3893750849607828,0.29236793598613225,1.0,0.3189371574569393,0.0,0.3876724428421742,0.29306517742775584,0.0,0.3192623757027291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1e-05,0.0001,0.25,24.52144143388078,18.597907220995104,3.7949002948967188,3.7949002948967188,3.7843354972633154,0.0,0.0,0.33250987932488724,5.1618127629563615,0.1738425332146722,3.0287376610008447,0.02796208133568635,1.777100373441794e-05,0.0,0.8538205849157797,0.33407117788856094,0.33269828155234055,0.0,0.0,0.0,2.7799306753519417,39.62818620011613,32.79363250732422,40.972068786621094,44.38798141479492,1.0000001192092896,0.19643227756023407,0.6331271529197693,3.341118812561035,0.3786337375640869,0.12155459076166153,0.0,0.0,0.2558226400130504,0.07925402896629798,0.6901993155795165,1.0,0.4022672675751351,0.2930222371140042,1.0,0.3082409138615067,0.0,0.3961020466443655,0.2947142220832206,0.0,0.3091837248286685,250.63261618980994,373.2384955326659,0.6803982058990469,-110.66478842431373,250.63261540130594,323.85501122061476,389.36238086198455,427.00590627362425,199.02780696323939,147.71654717497123,547.0979763528575,0.03694660422839533,0.3324072066161192,0.27716093175107653,0.25652947780762525,0.0,0.3727624430178119,0.1637705992601938,-0.08094590292474138,1.385831538889957,0.7163350555128064,0.7543512513282767,0.8324356014803415,0.2163350555128064,-0.045648748671723305,-0.1175643985196585,0.0,0.0,0.5384615384615384,0.46153846153846156,1.0,2.3346291187700334,2.275881818690143,2.2330558584941613,-8.000130653381348,0.00033536256523802876
11,1e-05,0.0001,0.3,23.412582887185586,17.69542121887207,3.7493692604271143,3.7493692604271143,3.730199130805763,0.0,0.0,0.33135168294648865,4.722012635823843,0.17059902685719566,2.677519566303975,0.026324579089477256,2.2593215780452248e-05,0.0,0.861580621551823,0.3320670192306106,0.3314875477069133,0.0,0.0,0.0,2.862827681206368,38.73056257093275,27.72308921813965,41.05216979980469,45.08699035644531,0.9999999403953552,0.25367793440818787,0.6011207103729248,3.1589725017547607,0.38005372881889343,0.15099675953388214,0.0,0.0,0.30246527895734115,0.11320057169005678,0.6257402764367468,1.0,0.4030041340235117,0.2986213355451017,1.0,0.3038692869044639,0.0,0.39403204176876994,0.3006148370536598,0.0,0.3053531131228885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,9.999976083776368e-06,9.999976083776368e-05,0.35,22.2181284878705,16.544194414808942,3.777327975711307,3.777327975711307,3.7559443164516138,0.0,0.0,0.3325290422181825,4.463951471689585,0.16696601743633682,2.570099949836731,0.026676714042755397,2.539799601977024e-05,0.0,0.8730926062609699,0.3333402968741752,0.33267250898722056,0.0,0.0,0.0,2.800443088686144,39.890165071229674,26.094348907470703,42.77096176147461,47.90120315551758,0.9999998211860657,0.2525528073310852,0.5852727293968201,3.2922253608703613,0.37705618143081665,0.1473226398229599,0.0,0.0,0.2863052374607808,0.10858889951093777,0.6207233214662632,1.0,0.3981891580530115,0.3025315919437924,1.0,0.30479612704869863,0.0,0.3893609449670121,0.30406726131568085,0.0,0.30657179532824336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
